category,variable,value
ITZY,danceability,0.7857500000000001
Pop,danceability,0.6142796442687756
R&B,danceability,0.7009032258064509
Rap,danceability,0.7590797101449275
ITZY,energy,0.9003749999999999
Pop,energy,0.5966137845849805
R&B,energy,0.5196989247311828
Rap,energy,0.5905942028985504
ITZY,valence,0.6773750000000002
Pop,valence,0.4292329545454545
R&B,valence,0.6265032258064519
Rap,valence,0.5373086956521738
